Index,Date_first_measurements_taken,Specimen_ID,Taxon,Tip_label,Added?,Sources_for_phylogenetic_placement,MajorClade,Subclade,Subgroup1,Subgroup2,Neonate?,Specimen_type,Morphosource_ark,Flipper_status,Ecotype1,Ecotype2,Ecotype3,Ecotype_references,IUCN_cat,IUCN_source,fore_type,hind_type,f_subtype,h_subtype,Limb_type_references,Skull present?,Limb Articulated?,Photographable?,TO PHOTOGRAPH?,Photo credit,First_occurrence (mya),last_occurrence (mya),Citation for occurrences,Notes on occurrences,Limb_region_measurement_method,Length_units,Included_unguals?,Humerus,Radius,Ulna,EFZL,Hand,f_AZR,f_SZR,f_ASR,f_AnAR,Femur,Tibia,Foot,h_AZR,h_SZR,h_ASR,h_AnAR,Limb_region_measurement_notes,Acropod_LM_measurement_method,mD_Antmost,mD_Postmost,mD_Longest,mD_Symmetry_index1,mD_Symmetry_index2,pD_Antmost,pD_Postmost,pD_Longest,pD_Symmetry_index1,pD_Symmetry_index2,mD3_up_Height,mD3_up_TopLength,mD3_up_BottomLength,mD3_up_FI1,mD3_up_FI2,mD3_up_FI3,pD3_up_Height,pD3_up_TopLength,pD3_up_BottomLength,pD3_up_FI1,pD3_up_FI2,pD3_up_FI3,Ungual_measurement_notes,mD3_proxp_Length,mD3_proxp_ProxWidth,mD3_proxp_DistWidth,mD3_proxp_Length/DistWidth,mD3_proxp_WidthRatios,pD3_proxp_Length,pD3_proxp_ProxWidth,pD3_proxp_DistWidth,pD3_proxp_Length/DistWidth,pD3_proxp_WidthRatios,proxp_measurement_notes
m-c087,1/9/23,AMNH_M_166898,Neotoma_floridana,Neotoma_floridana__AMNH_M_166898,Yes,Rodent interrelationships were synthesized from the following sources: Weisbecker and Schmid 2007 [https://doi.org/10.1016/j.mambio.2006.03.005]; Blanga-Kanfi et al. 2009 [https://doi.org/10.1186/1471-2148-9-71]; Pérez 2010 [https://doi.org/10.1080/02724634.2010.522432] [https://doi.org/10.1080/02724634.2010.522432]; Fabre et al. 2013 [https://doi.org/10.1111/j.1463-6409.2012.00572.x]; Steppan and Schenk 2017 [https://doi.org/10.1371/journal. pone.0183070].,Pan-Mammalia,Euarchontoglires,Rodentia,NA,No,"Recent, original skeleton",NA,Non-flippered,Data Deficient,data deficient,predominantly terrestrial,"Although this species is predominantly terrestrial, and some populations have been known to live in marshes and build nests along stream banks, we find no direct reference to aquatic habits (Reid 2006, Eastern Woodrat, pp. 293–294 [Reid FA (2006). Peterson Field Guide to Mammals of North America, Fourth Edition. Houghton Mifflin Company: Boston. 579 pp.]; Cassola 2016 [http://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T42650A22371112.en]). In the absence of additional information, it remains unclear to us whether this species is Terrestrial or Transiently Aquatic.",LC,Cassola 2016 (Neotoma floridana: http://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T42650A22371112.en),Unwebbed,Unwebbed,Unwebbed,Unwebbed,Skin specimens YPM_MAM_01654 and AMNH_M_skin specimens of Neotoma floridana: hands and feet unwebbed,Yes,Mostly,Yes,Done,Caleb Gordon,2.588,0,The Paleobiology Database (https://paleobiodb.org/classic/checkTaxonInfo?taxon_no=49118&is_real_user=1),Extant,Calipers,mm,No,31,28,34,31,14,0.45,1,0.45,0.45,38,39,18,0.46,0.97,0.47,0.47,Measured longet digit (=D3) for both hand and foot.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m-c088,1/9/23,AMNH_M_90103,Ondatra_zibethicus,Ondatra_zibethicus__AMNH_M_90103,Yes,Rodent interrelationships were synthesized from the following sources: Weisbecker and Schmid 2007 [https://doi.org/10.1016/j.mambio.2006.03.005]; Blanga-Kanfi et al. 2009 [https://doi.org/10.1186/1471-2148-9-71]; Pérez 2010 [https://doi.org/10.1080/02724634.2010.522432] [https://doi.org/10.1080/02724634.2010.522432]; Fabre et al. 2013 [https://doi.org/10.1111/j.1463-6409.2012.00572.x]; Steppan and Schenk 2017 [https://doi.org/10.1371/journal. pone.0183070].,Pan-Mammalia,Euarchontoglires,Rodentia,NA,No,"Recent, original skeleton",NA,Non-flippered,Moderately Aquatic,small or slow-moving water bodies,terrestrial/freshwater,"Much like their round-tailed cousins, these semi-aquatic rodents consume almost entirely aquatic food, build intricate lodges within the water column, and spend the vast majority of their time in, on, or very near the water (Chapman 1889 [http://hdl.handle.net/2246/1699]; Proulx and Gilbert 1983 [https://doi.org/10.5962/p.355039]; Reid 2006, Common Muskrat: pp. 326–327 [Reid FA (2006). Peterson Field Guide to Mammals of North America, Fourth Edition. Houghton Mifflin Company: Boston. 579 pp.]). While they seem to be more active in the water than round-tailed muskrats (Chapman 1889 [http://hdl.handle.net/2246/1699]), and are sometimes broadly considered more aquatic (Reid 2006, Round-Tailed Muskrat, pp. 325–326 [Reid FA (2006). Peterson Field Guide to Mammals of North America, Fourth Edition. Houghton Mifflin Company: Boston. 579 pp.]), they may still travel extended distances over land to find new suitable habitats. Yearling animals typically do so in the spring. As a result, we consider this species Moderately Aquatic. Muskrats prefer slow-moving water bodies (Proulx and Gilbert 1983 [https://doi.org/10.5962/p.355039]). ",LC,Cassola 2016 (Ondatra zibethicus: http://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T15324A22344525.en),Webbed,Webbed,"Partial, slight","Partial, slight","Partial hand and foot webbing evident in the majority of observed skin specimens, including AMNH_16204, AMNH_122697, and AMNH_129223. However, there seems to be some intraspecific variation, because the foot of skin specimen AMNH_70591 is unwebbed and lacks stiff paradigital integument.",Yes,Yes,Yes,Done,Caleb Gordon,2.588,0,The Paleobiology Database (https://paleobiodb.org/classic/checkTaxonInfo?taxon_no=49341&is_real_user=1),Extant,Calipers,mm,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,66,49,0.74,0.7,1.07,0.88,Measured longest digit (D2). D3 length was 46.41.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m-c089,1/9/23,AMNH_M_123860,Ondatra_zibethicus_cinnamonia,Ondatra_zibethicus_cinnamonia__AMNH_M_123860,Yes,Rodent interrelationships were synthesized from the following sources: Weisbecker and Schmid 2007 [https://doi.org/10.1016/j.mambio.2006.03.005]; Blanga-Kanfi et al. 2009 [https://doi.org/10.1186/1471-2148-9-71]; Pérez 2010 [https://doi.org/10.1080/02724634.2010.522432] [https://doi.org/10.1080/02724634.2010.522432]; Fabre et al. 2013 [https://doi.org/10.1111/j.1463-6409.2012.00572.x]; Steppan and Schenk 2017 [https://doi.org/10.1371/journal. pone.0183070].,Pan-Mammalia,Euarchontoglires,Rodentia,NA,No,"Recent, original skeleton",NA,Non-flippered,Moderately Aquatic,small or slow-moving water bodies,terrestrial/freshwater,"Much like their round-tailed cousins, these semi-aquatic rodents consume almost entirely aquatic food, build intricate lodges within the water column, and spend the vast majority of their time in, on, or very near the water (Chapman 1889 [http://hdl.handle.net/2246/1699]; Proulx and Gilbert 1983 [https://doi.org/10.5962/p.355039]; Reid 2006, Common Muskrat: pp. 326–327 [Reid FA (2006). Peterson Field Guide to Mammals of North America, Fourth Edition. Houghton Mifflin Company: Boston. 579 pp.]). While they seem to be more active in the water than round-tailed muskrats (Chapman 1889 [http://hdl.handle.net/2246/1699]), and are sometimes broadly considered more aquatic (Reid 2006, Round-Tailed Muskrat, pp. 325–326 [Reid FA (2006). Peterson Field Guide to Mammals of North America, Fourth Edition. Houghton Mifflin Company: Boston. 579 pp.]), they may still travel extended distances over land to find new suitable habitats. Yearling animals typically do so in the spring. As a result, we consider this species Moderately Aquatic. Muskrats prefer slow-moving water bodies (Proulx and Gilbert 1983 [https://doi.org/10.5962/p.355039]). ",LC,Cassola 2016 (Ondatra zibethicus: http://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T15324A22344525.en),Webbed,Webbed,"Partial, slight","Partial, slight","Partial hand and foot webbing evident in the majority of observed skin specimens, including AMNH_16204, AMNH_122697, and AMNH_129223. However, there seems to be some intraspecific variation, because the foot of skin specimen AMNH_70591 is unwebbed and lacks stiff paradigital integument.",Yes,Yes,(Only unguals),Done,Caleb Gordon,2.588,0,The Paleobiology Database (https://paleobiodb.org/classic/checkTaxonInfo?taxon_no=49341&is_real_user=1),Extant,Calipers,mm,No,40,39,53,46,20,0.43,0.87,0.5,0.45,49,66,44,0.67,0.74,0.9,0.77,Measured longet digit (=D3) for both hand and foot.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m-c090,1/9/23,AMNH_M_70591,Ondatra_zibethicus,Ondatra_zibethicus__AMNH_M_70591,Yes,Rodent interrelationships were synthesized from the following sources: Weisbecker and Schmid 2007 [https://doi.org/10.1016/j.mambio.2006.03.005]; Blanga-Kanfi et al. 2009 [https://doi.org/10.1186/1471-2148-9-71]; Pérez 2010 [https://doi.org/10.1080/02724634.2010.522432] [https://doi.org/10.1080/02724634.2010.522432]; Fabre et al. 2013 [https://doi.org/10.1111/j.1463-6409.2012.00572.x]; Steppan and Schenk 2017 [https://doi.org/10.1371/journal. pone.0183070].,Pan-Mammalia,Euarchontoglires,Rodentia,NA,No,"Recent, original skeleton",NA,Non-flippered,Moderately Aquatic,small or slow-moving water bodies,terrestrial/freshwater,"Much like their round-tailed cousins, these semi-aquatic rodents consume almost entirely aquatic food, build intricate lodges within the water column, and spend the vast majority of their time in, on, or very near the water (Chapman 1889 [http://hdl.handle.net/2246/1699]; Proulx and Gilbert 1983 [https://doi.org/10.5962/p.355039]; Reid 2006, Common Muskrat: pp. 326–327 [Reid FA (2006). Peterson Field Guide to Mammals of North America, Fourth Edition. Houghton Mifflin Company: Boston. 579 pp.]). While they seem to be more active in the water than round-tailed muskrats (Chapman 1889 [http://hdl.handle.net/2246/1699]), and are sometimes broadly considered more aquatic (Reid 2006, Round-Tailed Muskrat, pp. 325–326 [Reid FA (2006). Peterson Field Guide to Mammals of North America, Fourth Edition. Houghton Mifflin Company: Boston. 579 pp.]), they may still travel extended distances over land to find new suitable habitats. Yearling animals typically do so in the spring. As a result, we consider this species Moderately Aquatic. Muskrats prefer slow-moving water bodies (Proulx and Gilbert 1983 [https://doi.org/10.5962/p.355039]). ",LC,Cassola 2016 (Ondatra zibethicus: http://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T15324A22344525.en),Webbed,Webbed,"Partial, slight","Partial, slight","Partial hand and foot webbing evident in the majority of observed skin specimens, including AMNH_16204, AMNH_122697, and AMNH_129223. However, there seems to be some intraspecific variation, because the foot of skin specimen AMNH_70591 is unwebbed and lacks stiff paradigital integument.",No,Yes,No,No,NA,2.588,0,The Paleobiology Database (https://paleobiodb.org/classic/checkTaxonInfo?taxon_no=49341&is_real_user=1),Extant,Calipers,mm,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,68,47,0.69,0.78,0.89,0.78,Measured longest digit (=D4) for foot. D3 length was 41.08.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m-c091,1/9/23,AMNH_M_242771,Neofiber_alleni,Neofiber_alleni__AMNH_M_242771,Yes,Rodent interrelationships were synthesized from the following sources: Weisbecker and Schmid 2007 [https://doi.org/10.1016/j.mambio.2006.03.005]; Blanga-Kanfi et al. 2009 [https://doi.org/10.1186/1471-2148-9-71]; Pérez 2010 [https://doi.org/10.1080/02724634.2010.522432] [https://doi.org/10.1080/02724634.2010.522432]; Fabre et al. 2013 [https://doi.org/10.1111/j.1463-6409.2012.00572.x]; Steppan and Schenk 2017 [https://doi.org/10.1371/journal. pone.0183070].,Pan-Mammalia,Euarchontoglires,Rodentia,NA,No,"Recent, original skeleton",NA,Non-flippered,Moderately Aquatic,small or slow-moving water bodies,terrestrial/freshwater,"These semi-aquatic rodents seem to spend the majority of their time in the shallow densely vegetated water of marshes, where they consume almost exclusively aquatic plants and build intricate dome-shaped houses and feeding platforms within the water column (Birkenholz 1972 [https://doi.org/10.2307/3503816]; Cassolla 2016 [http://dx.doi.org/10.2305/IUCN.UK.2016-2.RLTS.T14520A22356567.en]). They seem to actively swim less than Ondatra zibethica (Chapman 1889 [http://hdl.handle.net/2246/1699]; Reid 2006, Round-Tailed Muskrat, pp. 325–326 [Reid FA (2006). Peterson Field Guide to Mammals of North America, Fourth Edition. Houghton Mifflin Company: Boston. 579 pp.]), but nevertheless spend much of their lives in or on the water upon their vegetated constructions.  We cannot find a clear source on how frequently this species ventures onto land, but the frequency of roadkill reports, some hundreds of yards or more from the nearest pond (Birkenholz 1963 [https://doi.org/10.2307/1942628]), suggest that individuals will travel great distances over land to find suitable aquatic habitat. As a result, we tentatively score this species as Moderately Aquatic. If these terrestrial forays are actually rare, we would consider the species Highly Aquatic instead.",LC,Cassola 2016 (Neofiber alleni: http://dx.doi.org/10.2305/IUCN.UK.2016-2.RLTS.T14520A22356567.en),Webbed,Webbed,"Partial, slight","Partial, slight",Skin specimen corresponding to AMNH_M_MO-6212 (listed in collections as as AMNH_M_4857/6212).,Yes,Mostly,(Only unguals),Done,Caleb Gordon,2.588,0,The Paleobiology Database (https://paleobiodb.org/classic/checkTaxonInfo?taxon_no=49028&is_real_user=1),Extant,Calipers,mm,No,25,25,33,29,13,0.45,0.86,0.52,0.47,33,38,23,0.61,0.87,0.7,0.65,Measured longet digit (=D3) for both hand and foot.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m-c092,1/9/23,AMNH_M_128522,Ondatra_zibethicus,Ondatra_zibethicus__AMNH_M_128522,Yes,Rodent interrelationships were synthesized from the following sources: Weisbecker and Schmid 2007 [https://doi.org/10.1016/j.mambio.2006.03.005]; Blanga-Kanfi et al. 2009 [https://doi.org/10.1186/1471-2148-9-71]; Pérez 2010 [https://doi.org/10.1080/02724634.2010.522432] [https://doi.org/10.1080/02724634.2010.522432]; Fabre et al. 2013 [https://doi.org/10.1111/j.1463-6409.2012.00572.x]; Steppan and Schenk 2017 [https://doi.org/10.1371/journal. pone.0183070].,Pan-Mammalia,Euarchontoglires,Rodentia,NA,No,"Recent, original skeleton",NA,Non-flippered,Moderately Aquatic,small or slow-moving water bodies,terrestrial/freshwater,"Much like their round-tailed cousins, these semi-aquatic rodents consume almost entirely aquatic food, build intricate lodges within the water column, and spend the vast majority of their time in, on, or very near the water (Chapman 1889 [http://hdl.handle.net/2246/1699]; Proulx and Gilbert 1983 [https://doi.org/10.5962/p.355039]; Reid 2006, Common Muskrat: pp. 326–327 [Reid FA (2006). Peterson Field Guide to Mammals of North America, Fourth Edition. Houghton Mifflin Company: Boston. 579 pp.]). While they seem to be more active in the water than round-tailed muskrats (Chapman 1889 [http://hdl.handle.net/2246/1699]), and are sometimes broadly considered more aquatic (Reid 2006, Round-Tailed Muskrat, pp. 325–326 [Reid FA (2006). Peterson Field Guide to Mammals of North America, Fourth Edition. Houghton Mifflin Company: Boston. 579 pp.]), they may still travel extended distances over land to find new suitable habitats. Yearling animals typically do so in the spring. As a result, we consider this species Moderately Aquatic. Muskrats prefer slow-moving water bodies (Proulx and Gilbert 1983 [https://doi.org/10.5962/p.355039]). ",LC,Cassola 2016 (Ondatra zibethicus: http://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T15324A22344525.en),Webbed,Webbed,"Partial, slight","Partial, slight","Partial hand and foot webbing evident in the majority of observed skin specimens, including AMNH_16204, AMNH_122697, and AMNH_129223. However, there seems to be some intraspecific variation, because the foot of skin specimen AMNH_70591 is unwebbed and lacks stiff paradigital integument.",No,Mostly,(Only unguals),Done,Caleb Gordon,2.588,0,The Paleobiology Database (https://paleobiodb.org/classic/checkTaxonInfo?taxon_no=49341&is_real_user=1),Extant,Calipers,mm,No,36,35,51,43,20,0.47,0.84,0.56,0.49,43,61,45,0.74,0.7,1.05,0.87,Measured longest digit (D3 for hand and D4 for foot).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m-c093,1/9/23,AMNH_M_147455,Lophiomys_imhausi,Lophiomys_imhausi__AMNH_M_147455,Yes,Rodent interrelationships were synthesized from the following sources: Weisbecker and Schmid 2007 [https://doi.org/10.1016/j.mambio.2006.03.005]; Blanga-Kanfi et al. 2009 [https://doi.org/10.1186/1471-2148-9-71]; Pérez 2010 [https://doi.org/10.1080/02724634.2010.522432] [https://doi.org/10.1080/02724634.2010.522432]; Fabre et al. 2013 [https://doi.org/10.1111/j.1463-6409.2012.00572.x]; Steppan and Schenk 2017 [https://doi.org/10.1371/journal. pone.0183070].,Pan-Mammalia,Euarchontoglires,Rodentia,NA,No,"Recent, original skeleton",NA,Non-flippered,Terrestrial,almost always on land,predominantly terrestrial,This species occupies terrestrial (and often arid) environments; we find no reference to aquatic habits (Schlitter 2016 [http://dx.doi.org/10.2305/IUCN.UK.2016-2.RLTS.T12308A22368581.en]).,LC,Schlitter 2016 (Lophiomys imhausi: http://dx.doi.org/10.2305/IUCN.UK.2016-2.RLTS.T12308A22368581.en),Unwebbed,Unwebbed,Unwebbed,Unwebbed,Skin specimens AMNH_54008 and AMNH_33331,Yes,Yes,Yes,Done,Caleb Gordon,0,0,The Paleobiology Database (https://paleobiodb.org/classic/checkTaxonInfo?taxon_no=54130&is_real_user=1),Extant. No fossil specimens are reported on The Paleobiology Database.,Calipers,mm,No,46,34,42,38,23,0.61,1.21,0.5,0.57,50,48,29,0.6,1.04,0.58,0.59,Measured longest digit (=D3) for both hand and foot.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m-c094,1/10/23,AMNH_M_35178,Taxidea_taxus,Taxidea_taxus__AMNH_M_35178,Yes,Van Valkenburgh et al. 2014 [http://doi.org/10.1002/ar.23026]; Law 2019 [http://dx.doi.org/10.1098/rsbl.2019.0155],Pan-Mammalia,Ferae,Mustelidae,NA,No,"Recent, original skeleton",NA,Non-flippered,Transiently Aquatic,"primarily on land, seldom in water",predominantly terrestrial,"Although this species occupies terrestrial environments (Reid 2006, American Badger, pp. 470–471 [Reid FA (2006). Peterson Field Guide to Mammals of North America, Fourth Edition. Houghton Mifflin Company: Boston. 579 pp.]), the American Badger is a good swimmer (Long 1973 [https://doi.org/10.2307/3504047]), and at least two observations have clarified that it will readily travel great distances over water (Wood 1921 [https://doi.org/10.1093/jmammal/2.3.170]; Duebbert 1967 [https://doi.org/10.2307/1378046]), for reasons that remain unclear. Assuming this activity is infrequent but within their normal range of behaviors, we consider the American Badger to be Transiently Aquatic.",LC,Helgen and Reid 2016 (Taxidea taxus: http://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T41663A45215410.en),"Unclear, terr.",Unwebbed,"Unclear, terr.",Unwebbed,"Taxidea spp. were scored based on “Taxidea americana” skin specimen AMNH_02842, which appeared unwebbed. However, Long 1973 [https://doi.org/10.2307/3504047] reports that badgers have a partially webbed manus (and presumably unwebbed feet). This description of the manus conflicts with our observation on skin specimens, so we score the hand’s webbing phenotype as “Unclear”.",Not sure,Yes,Yes,Done,Caleb Gordon,5.333,0,The Paleobiology Database (https://paleobiodb.org/classic/checkTaxonInfo?taxon_no=52093&is_real_user=1),Extant,Calipers,mm,No,89,65,87,76,49,0.64,1.17,0.55,0.61,NA,NA,NA,NA,NA,NA,NA,"Measured longest digit (=D3). Listed in the collection as “Taxidea americana”, a synonym for Taxidea taxus.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m-c095,1/10/23,AMNH_M_100149,Taxidea_taxus,Taxidea_taxus__AMNH_M_100149,Yes,Van Valkenburgh et al. 2014 [http://doi.org/10.1002/ar.23026]; Law 2019 [http://dx.doi.org/10.1098/rsbl.2019.0155],Pan-Mammalia,Ferae,Mustelidae,NA,No,"Recent, original skeleton",NA,Non-flippered,Transiently Aquatic,"primarily on land, seldom in water",predominantly terrestrial,"Although this species occupies terrestrial environments (Reid 2006, American Badger, pp. 470–471 [Reid FA (2006). Peterson Field Guide to Mammals of North America, Fourth Edition. Houghton Mifflin Company: Boston. 579 pp.]), the American Badger is a good swimmer (Long 1973 [https://doi.org/10.2307/3504047]), and at least two observations have clarified that it will readily travel great distances over water (Wood 1921 [https://doi.org/10.1093/jmammal/2.3.170]; Duebbert 1967 [https://doi.org/10.2307/1378046]), for reasons that remain unclear. Assuming this activity is infrequent but within their normal range of behaviors, we consider the American Badger to be Transiently Aquatic.",LC,Helgen and Reid 2016 (Taxidea taxus: http://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T41663A45215410.en),"Unclear, terr.",Unwebbed,"Unclear, terr.",Unwebbed,"Taxidea spp. were scored based on “Taxidea americana” skin specimen AMNH_02842, which appeared unwebbed. However, Long (1973) reports that badgers have a partially webbed manus (and presumably unwebbed feet). This description of the manus conflicts with our observation on skin specimens, so we score the hand’s webbing phenotype as “Unclear”.",No,Yes,Yes,Done,Caleb Gordon,5.333,0,The Paleobiology Database (https://paleobiodb.org/classic/checkTaxonInfo?taxon_no=52093&is_real_user=1),Extant,Calipers,mm,No,96,75,96,85.5,51,0.6,1.12,0.53,0.57,96,76,52,0.68,1.26,0.54,0.6,Measured longest digit (=D3) for both hand and foot.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m-c096,1/10/23,AMNH_M_29057,Martes_sp,Martes_sp__AMNH_M_29057,Yes,Van Valkenburgh et al. 2014 [http://doi.org/10.1002/ar.23026]; Law 2019 [http://dx.doi.org/10.1098/rsbl.2019.0155],Pan-Mammalia,Ferae,Mustelidae,NA,No,"Recent, original skeleton",NA,Non-flippered,Transiently Aquatic,"primarily on land, seldom in water",predominantly terrestrial,"Although this species occupies terrestrial environments (Virgós et al. 2012 [https://doi.org/10.7591/9780801466076-014]; Proulx and Aubry 2020 [Proulx G, Aubry KB (2020). The Martes Complex: opportunities for developing multi-species management and conservation strategies. Canadian Wildlife Biology & Management 9: 49–67.]), it has (much like the American badger) been reported to readily cross large water bodies (Clark et al. 1987 [https://doi.org/10.2307/3503918]). Assuming this behavior is infrequent but typical, we consider Martes spp. Transiently Aquatic.",NA,NA (species of specimen unresolved),Webbed,Webbed,"Complete, slight","Complete, slight","Martens have complete interdigital webbing, which varies in extent but may reach the proximal end of the toe pads (Kitchener et al. 2017 [https://doi.org/10.1093/oso/9780198759805.003.0003]). We directly examined Martes skin specimens AMNH_70236 (Martes foina) and AMNH_120687 (Martes origenes), but were unable to determine their webbing phenotype due to their stiffness and the extent of fur cover.",Yes,Yes,Yes,Done,Caleb Gordon,23.03,0,The Paleobiology Database (https://paleobiodb.org/classic/checkTaxonInfo?taxon_no=41126&is_real_user=1),Extant,Calipers,mm,No,58,45,55,50,43,0.86,1.16,0.74,0.82,66,68,56,0.82,0.97,0.85,0.84,Measured longest digit (=D3) for both hand and foot.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m-c097,1/10/23,AMNH_M_200805,Mustela_putorius,Mustela_putorius__AMNH_M_200805,Yes,"Mustelinae was placed following Law 2019 [http://dx.doi.org/10.1098/rsbl.2019.0155]. Due to ongoing taxonomic controversy regarding the genera that make up Mustelinae (see Patterson et al. 2021 [http://dx.doi.org/10.29252/JAD.2021.3.2.1]), we place all Mustela/Neovison/Neogale specimens in an unresolved polytomy.",Pan-Mammalia,Ferae,Mustelidae,NA,No,"Recent, original skeleton",NA,Non-flippered,Transiently Aquatic,"primarily on land, seldom in water",predominantly terrestrial,"The aquatic affinity of the European Polecat is a little unclear (Blandford 1987 [https://doi.org/10.1111/j.1365-2907.1987.tb00282.x]). Some sources report that it avoids and refrains from entering water, while others highlight its great swimming ability and high affinity for water (reviewed in Blandford 1987 [https://doi.org/10.1111/j.1365-2907.1987.tb00282.x]), or its tendency to reside by the water's edge (Skumatov et al. 2016 [http://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T41658A45214384.en]). These reports suggest intraspecific and perhaps geographic variation in polecat habitat preferences (Blandford 1987 [https://doi.org/10.1111/j.1365-2907.1987.tb00282.x]). Because there are nevertheless reports of these animals readily traversing water and consuming some aquatic prey (Blandford 1987 [https://doi.org/10.1111/j.1365-2907.1987.tb00282.x]), we consider the species Transiently Aquatic.",LC,Skumatov et al. 2016 (Mustela putorius: http://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T41658A45214384.en),Unwebbed,Webbed,"Complete, slight","Complete, slight","Mustela specimens AMNH_243106, AMNH_36632, and YPM_01479: possible slight webbing between pD3 and pD4, but very difficult to tell. However, given that nearly all  mustelids have complete interdigital webbing, which varies in extent but may reach the proximal end of the toe pads (Kitchener et al. 2017 [https://doi.org/10.1093/oso/9780198759805.003.0003]), we tentatively scored this species as having complete, slight webbing.",Yes,Yes,Yes,Done,Caleb Gordon,5.333,0,The Paleobiology Database (https://paleobiodb.org/classic/checkTaxonInfo?taxon_no=104168&is_real_user=1),Extant,Calipers,mm,No,41,29,39,34,29,0.85,1.21,0.71,0.8,45,46,33,0.72,0.98,0.73,0.73,Measured longest digit (=D3) for both hand and foot. Habitat score (terrestrial) dubious––maybe more terrestrial-to-slightly-aquatic.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
